ITINERAIRE_ID,ARRET_ID,SEQUENCE
658,8891702,1
658,8891009,2
658,8892007,3
658,8814001,4
658,8813003,5
658,8812005,6
658,8833001,7
658,8841004,8
658,8844008,9
658,8844503,10
658,8844628,11
908,8885001,1
908,8884004,2
908,8881000,3
908,8882206,4
908,8872009,5
908,8874609,6
908,8863008,7
221,8814001,1
221,8813003,2
221,8812005,3
221,8811916,4
221,8811304,5
221,8811601,6
221,8861200,7
221,8863008,8
221,8863404,9
221,8843406,10
221,8843307,11
221,8843208,12
221,8841004,13
33,8895000,1
33,8895067,2
33,8893583,3
33,8893542,4
33,8893559,5
33,8893039,6
33,8893013,7
33,8892007,8
225,8863503,1
225,8863545,2
225,8863560,3
225,8863156,4
225,8863115,5
225,8863008,6
